timestamp,best_bid,best_ask,mid_price,microprice,ofi,dynamic_vol,long_vol_ma
2026-04-01 14:21:23.629633,68000.20558443165,68000.4699484942,68000.33776646292,68000.33776646292,0.0,5.0,5.0
2026-04-01 14:21:23.729633,67999.9368849714,68000.52345505191,68000.23017001165,68000.16646228585,-0.27152648898978143,5.0,5.0
2026-04-01 14:21:23.829633,68000.29671813705,68001.01886877153,68000.65779345429,68000.58380035026,-0.25615536597450245,5.0,5.0
2026-04-01 14:21:23.929633,68001.36860464865,68002.01964164342,68001.69412314604,68001.69751417554,0.013021646739386245,5.0,5.0
2026-04-01 14:21:24.029633,68001.17768719263,68001.8945826976,68001.53613494511,68001.5432461732,0.02479869114333504,5.0,5.0
2026-04-01 14:21:24.129633,68001.1585521337,68001.61617422746,68001.38736318058,68001.42560147432,0.2088966761980609,5.0,5.0
2026-04-01 14:21:24.229633,68002.26087737027,68002.66755357663,68002.46421547345,68002.47383570013,0.05913935050135109,5.0,5.0
2026-04-01 14:21:24.329633,68002.80419647721,68003.15681620677,68002.98050634199,68002.96474918755,-0.11171492343168793,5.0,5.0
2026-04-01 14:21:24.429633,68002.42058093868,68002.90940164535,68002.66499129201,68002.6796201474,0.07481708114007476,5.0,5.0
2026-04-01 14:21:24.529633,68002.7986791128,68003.2829609536,68003.0408200332,68003.06744538892,0.13744762590030152,5.0,5.0
2026-04-01 14:21:24.629633,68002.44900041366,68002.99033593938,68002.71966817652,68002.69362155363,-0.12028871953963557,5.0,5.0
2026-04-01 14:21:24.729633,68002.152769025,68002.62690953359,68002.38983927929,68002.34007091317,-0.26241359484124804,5.0,5.0
2026-04-01 14:21:24.829633,68002.3222356741,68002.79551012817,68002.55887290114,68002.57588516647,0.08986469259642207,5.0,5.0
2026-04-01 14:21:24.929633,68001.08004852931,68001.42470971873,68001.25237912402,68001.23741723632,-0.10852605518690447,5.0,5.0
2026-04-01 14:21:25.029633,67999.73999208972,68000.42831589244,68000.08415399108,68000.11020528557,0.0946186024363307,5.0,5.0
2026-04-01 14:21:25.129633,67999.44338657003,67999.95869018248,67999.70103837625,67999.69790295426,-0.015211527375858847,5.0,5.0
2026-04-01 14:21:25.229633,67998.77908565066,67999.24419686382,67999.01164125724,67999.00911756945,-0.013564969622906289,5.0,5.0
2026-04-01 14:21:25.329633,67999.05243908537,67999.40295323472,67999.22769616004,67999.23434026791,0.047388300009204104,5.0,5.0
2026-04-01 14:21:25.429633,67998.47444492049,67998.70806229842,67998.59125360945,67998.55575160007,-0.37991618709209624,5.0,5.0
2026-04-01 14:21:25.529633,67997.21934318186,67997.98093602037,67997.60013960111,67997.41264390523,-0.6154722261137415,5.0,5.0
2026-04-01 14:21:25.629633,67998.2659958131,67998.87692355472,67998.57145968391,67998.44783606338,-0.5058847884392478,5.0,5.0
2026-04-01 14:21:25.729633,67998.30158358761,67998.47680001911,67998.38919180336,67998.34890158512,-0.5748635829301367,5.0,5.0
2026-04-01 14:21:25.829633,67998.09432987483,67998.74695833497,67998.4206441049,67998.34511729633,-0.2893177864356918,5.0,5.0
2026-04-01 14:21:25.929633,67997.08123743313,67997.76573366718,67997.42348555016,67997.26820229662,-0.567144294643963,5.0,5.0
2026-04-01 14:21:26.029633,67996.77243072727,67997.29730595172,67997.0348683395,67996.95739221321,-0.36902163919577113,5.0,5.0
2026-04-01 14:21:26.129633,67996.67103593772,67997.49065811686,67997.08084702729,67996.8877726836,-0.5889126373972707,5.0,5.0
2026-04-01 14:21:26.229633,67995.99798522213,67996.54132915057,67996.26965718635,67996.14555814148,-0.5709967406165659,5.0,5.0
2026-04-01 14:21:26.329633,67996.38189043257,67996.59852572698,67996.49020807978,67996.42970420056,-0.6982227823716738,5.0,5.0
